Airdate,Animation,Animation Supervisor,Copyright year,Creative,Episode ?,Guest(s),Line Producer,Main,Next,Previous,Production code,Running time,Season ?,Sister episode(s),Storyboard,Storyboard Artist(s),Supervising,Supervising Producer(s),Technical,U.S. premiere time (ET),U.S. viewers (millions),Writer(s),characters,title
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Steve Fonti,Incidental 71,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Steve Fonti,Harris,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,SpongeBob SquarePants,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Squidward Tentacles,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Bubble Bass,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Eugene H. Krabs,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Gary the Snail,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Incidentals,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Troutenheimer,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Incidental 2,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Incidental 3,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Steven,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,John,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Tom,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Incidental 7,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Incidental 8,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Incidental 9,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Incidental 10,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Priscilla,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Incidental 13,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Incidental 14,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Incidental 15,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Incidental 17,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Incidental 18,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Incidental 20,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Incidental 21,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Carol,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Incidental 25,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Incidental 27,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Incidental 30,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Incidental 31,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Incidental 35,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Harold,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Incidental 42,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Judy,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Sadie,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Incidental 48,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Incidental 49,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Incidental 60,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Incidental 61,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Incidental 62,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Incidental 63,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Incidental 64,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Billy,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Incidental 67,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Incidental 68,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Incidental 69,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Incidental 70,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Incidental 71,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Chris Mitchell,Harris,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,SpongeBob SquarePants,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Squidward Tentacles,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Bubble Bass,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Eugene H. Krabs,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Gary the Snail,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Incidentals,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Troutenheimer,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Incidental 2,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Incidental 3,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Steven,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,John,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Tom,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Incidental 7,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Incidental 8,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Incidental 9,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Incidental 10,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Priscilla,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Incidental 13,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Incidental 14,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Incidental 15,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Incidental 17,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Incidental 18,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Incidental 20,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Incidental 21,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Carol,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Incidental 25,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Incidental 27,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Incidental 30,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Incidental 31,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Incidental 35,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Harold,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Incidental 42,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Judy,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Sadie,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Incidental 48,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Incidental 49,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Incidental 60,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Incidental 61,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Incidental 62,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Incidental 63,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Incidental 64,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Billy,Pickles
"August 21, 1999",Tom Yasumi,,1999,Derek Drymon,6b,,,,Hall Monitor,Mermaid Man and Barnacle Boy,2515-111,"10 minutes, 50 seconds",1,Mermaid Man and Barnacle Boy,Steve Fonti,Chris Mitchell,,,,10:15 am,2.94,Peter Burns,Incidental 67,Pickles
